sample,crs,risk_tier,mdr_norm,n_drug_classes,mdr_flag,drug_classes,hgt_norm,n_args,n_mges,n_colocalized,n_proximal,n_plasmid_borne,n_vf_colocalized,hgt_raw,pathogen_norm,pathogen_abundance_raw,top_pathogen,n_priority_taxa
6726_S47,0.7,Moderate,1,10,TRUE,AMINOGLYCOSIDE; BETA-LACTAM; FOSFOMYCIN; LINCOSAMIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE; PHENICOL/QUINOLONE; QUATERNARY AMMONIUM; TETRACYCLINE; TRIMETHOPRIM,0,16,10,0,0,0,0,0,1,0.9419,Klebsiella pneumoniae,5
65_S73,0.4207,Moderate,1,10,TRUE,AMINOGLYCOSIDE; BETA-LACTAM; FOSFOMYCIN; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; MACROLIDE; MACROLIDE/STREPTOGRAMIN; PHENICOL; QUATERNARY AMMONIUM; STREPTOTHRICIN; TETRACYCLINE,0.0397,21,4,1,1,1,0,1,0.02940864210638072,0.0277,Staphylococcus epidermidis,4
75_S75,0.3996,Low,0.9,9,TRUE,AMINOGLYCOSIDE; AMINOGLYCOSIDE/QUINOLONE; BETA-LACTAM; FOSFOMYCIN; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE; QUATERNARY AMMONIUM; TETRACYCLINE; TRIMETHOPRIM,0.0439,19,11,1,1,1,0,1,0.08822592631914215,0.0831,Staphylococcus aureus,5
12_S66,0.378,Low,0.5,5,TRUE,BETA-LACTAM; FOSFOMYCIN; PHENICOL; TETRACYCLINE; TRIMETHOPRIM,0.1667,5,4,1,1,1,0,1,0.42669073150015924,0.4019,Staphylococcus aureus,2
11_S65,0.3618,Low,0.9,9,TRUE,AMINOGLYCOSIDE; BETA-LACTAM; LINCOSAMIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; MACROLIDE; MACROLIDE/STREPTOGRAMIN; PHENICOL; TETRACYCLINE,0,15,2,0,0,0,0,0,0.00594542945110946,0.0056,Streptococcus pneumoniae,4
1_S25,0.3189,Low,0.5,5,TRUE,FOSFOMYCIN; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; QUATERNARY AMMONIUM; STREPTOTHRICIN; TETRACYCLINE,0.2778,6,2,2,2,2,0,2,0.1184839154899671,0.1116,Staphylococcus epidermidis,2
66_S72,0.3041,Low,0.3,3,TRUE,AMINOGLYCOSIDE; QUATERNARY AMMONIUM; SULFONAMIDE,0,4,3,0,0,0,0,0,0.6137594224439962,0.5781,Escherichia coli,2
4_S27,0.296,Low,0.3,3,TRUE,BETA-LACTAM; FOSFOMYCIN; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,0,5,6,0,0,0,0,0,0.5866864847648371,0.5526,Staphylococcus epidermidis,6
2_S64,0.2656,Low,0.4,4,TRUE,AMINOGLYCOSIDE; QUATERNARY AMMONIUM; STREPTOTHRICIN; TETRACYCLINE,0.1667,5,1,1,1,1,0,1,0.18536999681494853,0.1746,Staphylococcus epidermidis,3
48_S70,0.251,Low,0.6,6,TRUE,AMINOGLYCOSIDE; BETA-LACTAM; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; MACROLIDE; MACROLIDE/STREPTOGRAMIN; TETRACYCLINE,0,15,2,0,0,0,0,0,0.036734260537212016,0.0346,Streptococcus pneumoniae,2
47_S17,0.211,Low,0.5,5,TRUE,AMINOGLYCOSIDE; BETA-LACTAM; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; QUATERNARY AMMONIUM; SULFONAMIDE,0,5,1,0,0,0,0,0,0.036734260537212016,0.0346,Staphylococcus epidermidis,8
57_S71,0.2101,Low,0.3,3,TRUE,AMINOGLYCOSIDE; QUATERNARY AMMONIUM; TRIMETHOPRIM,0,3,3,0,0,0,0,0,0.3002441872810277,0.2828,Escherichia coli,2
8_S16,0.2054,Low,0.5,5,TRUE,BETA-LACTAM; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; MACROLIDE; MACROLIDE/STREPTOGRAMIN; TETRACYCLINE,0,10,1,0,0,0,0,0,0.018048625119439433,0.017,Streptococcus pneumoniae,4
68_S57,0.2013,Low,0.5,5,TRUE,BETA-LACTAM; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; MACROLIDE; MACROLIDE/STREPTOGRAMIN; TETRACYCLINE,0,10,1,0,0,0,0,0,0.004459072088332095,0.0042,Staphylococcus aureus,6
3_S26,0.1865,Low,0.3,3,TRUE,BETA-LACTAM; LINCOSAMIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,0.2083,4,1,1,1,1,0,1,0.01348338464805181,0.0127,Escherichia coli,5
6_S13,0.1703,Low,0.3,3,TRUE,MACROLIDE; MACROLIDE/STREPTOGRAMIN; TETRACYCLINE,0,4,1,0,0,0,0,0,0.16763987684467568,0.1579,Streptococcus pneumoniae,4
24_S54,0.1607,Low,0.4,4,TRUE,BETA-LACTAM; LINCOSAMIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; TETRACYCLINE,0,5,1,0,0,0,0,0,0.0022295360441660474,0.0021,Staphylococcus epidermidis,3
27_S19,0.1532,Low,0.3,3,TRUE,BETA-LACTAM; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; TETRACYCLINE,0.1042,8,1,1,1,1,0,1,0.006582439749442616,0.0062,Streptococcus pneumoniae,1
6792_S31,0.1463,Low,0.3,3,TRUE,BETA-LACTAM; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; TETRACYCLINE,0,3,2,0,0,0,0,0,0.08769508440386455,0.0826,Staphylococcus epidermidis,2
276_S3,0.1317,Low,0.3,3,TRUE,AMINOGLYCOSIDE; BETA-LACTAM; SULFONAMIDE,0,3,0,0,0,0,0,0,0.038857628198322544,0.0366,Klebsiella pneumoniae,4
15_S55,0.1278,Low,0.3,3,TRUE,BETA-LACTAM; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; TETRACYCLINE,0.0052,10,2,1,0,1,0,0.0626,0.020915171461938633,0.0197,Streptococcus pneumoniae,6
53_S23,0.1244,Low,0.3,3,TRUE,LINCOSAMIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; TETRACYCLINE,0,5,1,0,0,0,0,0,0.014757405244718122,0.0139,Streptococcus pneumoniae,3
42_S8,0.1239,Low,0.3,3,TRUE,BETA-LACTAM; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; QUATERNARY AMMONIUM,0,4,0,0,0,0,0,0,0.01295254273277418,0.0122,Staphylococcus epidermidis,1
40_S62,0.1226,Low,0.3,3,TRUE,BETA-LACTAM; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,0,12,1,0,0,0,0,0,0.008811975793608665,0.0083,Streptococcus pneumoniae,3
33_S53,0.0872,Low,0.2,2,FALSE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; TRIMETHOPRIM,0,3,0,0,0,0,0,0,0.02410022295360442,0.0227,Staphylococcus epidermidis,3
29_S9,0.0864,Low,0.2,2,FALSE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; TETRACYCLINE,0,2,0,0,0,0,0,0,0.02133984499416074,0.0201,Staphylococcus epidermidis,2
6746_S41,0.0828,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.2760377959443678,0.26,Streptococcus pneumoniae,4
6785_S30,0.0827,Low,0.2,2,FALSE,BETA-LACTAM; TETRACYCLINE,0,4,0,0,0,0,0,0,0.009130480942775241,0.0086,Streptococcus pneumoniae,2
77_S56,0.0825,Low,0.2,2,FALSE,BETA-LACTAM; TETRACYCLINE,0,2,0,0,0,0,0,0,0.008281133878331032,0.0078,Escherichia coli,4
6736_S45,0.0639,Low,0.1,1,FALSE,FOSFOMYCIN,0,1,0,0,0,0,0,0,0.07952011890858902,0.0749,Staphylococcus epidermidis,2
8842_S28,0.0595,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.19842870793077824,0.1869,Staphylococcus epidermidis,1
6753_S37,0.0536,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.17868138868245037,0.1683,Staphylococcus epidermidis,2
6778_S32,0.042,Low,0.1,1,FALSE,BETA-LACTAM,0,1,1,0,0,0,0,0,0.006688608132498142,0.0063,Staphylococcus epidermidis,1
6752_S38,0.0419,Low,0.1,1,FALSE,QUATERNARY AMMONIUM,0,1,0,0,0,0,0,0,0.006263934600276038,0.0059,Staphylococcus aureus,2
74_S74,0.0412,Low,0.1,1,FALSE,TETRACYCLINE,0,3,0,0,0,0,0,0,0.004140566939165516,0.0039,Streptococcus pneumoniae,4
6743_S44,0.0405,Low,0.1,1,FALSE,BETA-LACTAM,0,1,0,0,0,0,0,0,0.0016986941288884172,0.0016,Staphylococcus epidermidis,1
80_S67,0.0243,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.08111264465442192,0.0764,Staphylococcus epidermidis,2
6843_S29,0.0216,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.07208833209470221,0.0679,Staphylococcus epidermidis,1
54_S22,0.0154,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.051279329015819095,0.0483,Staphylococcus epidermidis,2
45_S21,0.0146,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.04851895105637541,0.0457,Klebsiella pneumoniae,2
39_S69,0.0141,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.04713876207665358,0.0444,Streptococcus pneumoniae,4
6750_S35,0.0115,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.03843295466610044,0.0362,Staphylococcus epidermidis,2
6744_S43,0.0084,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.028134621509714408,0.0265,Staphylococcus aureus,2
56_S5,0.0083,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.027603779594436776,0.026,Staphylococcus epidermidis,1
51_S10,0.0079,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.02622359061471494,0.0247,Streptococcus pneumoniae,1
6748_S36,0.0078,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.02590508546554836,0.0244,Staphylococcus epidermidis,1
20_S12,0.0063,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.02112750822804969,0.0199,Staphylococcus epidermidis,1
72_S24,0.0063,Low,0,0,FALSE,,0,0,0,0,0,0,0,0,0.02112750822804969,0.0199,Staphylococcus epidermidis,1
