sample,n_args,n_mges,n_colocalized,n_proximal,n_plasmid_borne,n_vf_colocalized,hgt_raw,hgt_potential
10_S18,0,0,0,0,0,0,0,0
11_S65,15,2,0,0,0,0,0,0
12_S66,5,4,1,1,1,0,1,0.1667
15_S55,10,2,1,0,1,0,0.0626,0.0052
16_S52,0,0,0,0,0,0,0,0
18_S7,0,0,0,0,0,0,0,0
19_S11,0,0,0,0,0,0,0,0
1_S25,6,2,2,2,2,0,2,0.2778
20_S12,0,0,0,0,0,0,0,0
228_S51,0,0,0,0,0,0,0,0
23_S58,0,0,0,0,0,0,0,0
24_S54,5,1,0,0,0,0,0,0
26_S1,0,0,0,0,0,0,0,0
276_S3,3,0,0,0,0,0,0,0
279_S2,0,0,0,0,0,0,0,0
27_S19,8,1,1,1,1,0,1,0.1042
29-2_S68,0,0,0,0,0,0,0,0
29_S9,2,0,0,0,0,0,0,0
2_S64,5,1,1,1,1,0,1,0.1667
31_S6,0,0,0,0,0,0,0,0
33_S53,3,0,0,0,0,0,0,0
359-E22_S96,0,0,0,0,0,0,0,0
360-E22_S97,0,0,0,0,0,0,0,0
361-E23_S98,0,0,0,0,0,0,0,0
36_S20,0,0,0,0,0,0,0,0
38_S59,0,0,0,0,0,0,0,0
39_S69,0,0,0,0,0,0,0,0
3_S26,4,1,1,1,1,0,1,0.2083
40_S62,12,1,0,0,0,0,0,0
41_S60,0,0,0,0,0,0,0,0
42_S8,4,0,0,0,0,0,0,0
45_S21,0,0,0,0,0,0,0,0
46_S4,0,0,0,0,0,0,0,0
47_S17,5,1,0,0,0,0,0,0
48_S70,15,2,0,0,0,0,0,0
4_S27,5,6,0,0,0,0,0,0
51_S10,0,0,0,0,0,0,0,0
53_S23,5,1,0,0,0,0,0,0
54_S22,0,0,0,0,0,0,0,0
56_S5,0,0,0,0,0,0,0,0
57_S71,3,3,0,0,0,0,0,0
58_S63,0,0,0,0,0,0,0,0
5_S15,0,0,0,0,0,0,0,0
65_S73,21,4,1,1,1,0,1,0.0397
66_S72,4,3,0,0,0,0,0,0
6721_S50,0,0,0,0,0,0,0,0
6722_S49,0,0,0,0,0,0,0,0
6726_S47,16,10,0,0,0,0,0,0
6733_S46,0,0,0,0,0,0,0,0
6736_S45,1,0,0,0,0,0,0,0
6741_S39,0,0,0,0,0,0,0,0
6743_S44,1,0,0,0,0,0,0,0
6744_S43,0,0,0,0,0,0,0,0
6745_S42,0,0,0,0,0,0,0,0
6746_S41,0,0,0,0,0,0,0,0
6747_S40,0,0,0,0,0,0,0,0
6748_S36,0,0,0,0,0,0,0,0
6750_S35,0,0,0,0,0,0,0,0
6751_S34,0,0,0,0,0,0,0,0
6752_S38,1,0,0,0,0,0,0,0
6753_S37,0,0,0,0,0,0,0,0
6757_S33,0,0,0,0,0,0,0,0
6778_S32,1,1,0,0,0,0,0,0
6785_S30,4,0,0,0,0,0,0,0
6792_S31,3,2,0,0,0,0,0,0
6795_S48,0,0,0,0,0,0,0,0
6843_S29,0,0,0,0,0,0,0,0
68_S57,10,1,0,0,0,0,0,0
6_S13,4,1,0,0,0,0,0,0
72_S24,0,0,0,0,0,0,0,0
74_S74,3,0,0,0,0,0,0,0
75_S75,19,11,1,1,1,0,1,0.0439
77_S56,2,0,0,0,0,0,0,0
7_S14,0,0,0,0,0,0,0,0
80_S67,0,0,0,0,0,0,0,0
8842_S28,0,0,0,0,0,0,0,0
8_S16,10,1,0,0,0,0,0,0
CN_S99,0,0,0,0,0,0,0,0
